SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz301021,20230811,20230810,1.51511482,1.51511482,24.92,807.54588183
sz301022,20230811,20230810,0.832,0.832,31.26,807.54588183
sz301025,20230811,20230810,4.003094,4.003094,12.48,807.54588183
sz301027,20230811,20230810,1.482914,1.482914,12.94,807.54588183
sz301029,20230811,20230810,5.7781152,5.7781152,37.07,807.54588183
sz301041,20230811,20230810,1.0668,1.0668,26.8,807.54588183
sz301046,20230811,20230810,1.49697,1.49697,29.83,807.54588183
sz301047,20230811,20230810,1.292,1.292,90.5,807.54588183
sz301048,20230811,20230810,5.333334,5.333334,11.27,807.54588183
sz301049,20230811,20230810,0.94253334,0.94253334,23.25,807.54588183
sz301050,20230811,20230810,1.7424,1.7424,60.41,807.54588183
sz301058,20230811,20230810,5.12274245,5.12274245,14.04,807.54588183
sz301060,20230811,20230810,4.00517,4.00517,15.74,807.54588183
sz301069,20230811,20230810,4.2064,4.2064,23.5,807.54588183
sz301071,20230811,20230810,2.60272313,2.60272313,38.73,807.54588183
sz301072,20230811,20230810,1.050548,1.050548,25.23,807.54588183
sz301080,20230811,20230810,1.2,1.2,67.94,807.54588183
sz301082,20230811,20230810,1.6164941,1.6164941,16.58,807.54588183
sz301083,20230811,20230810,1.77866667,1.77866667,17.25,807.54588183
sz301085,20230811,20230810,0.8,0.8,59.29,807.54588183
sz301086,20230811,20230810,0.9,0.9,44.9,807.54588183
sz301088,20230811,20230810,2.28,2.28,17.9,807.54588183
sz301089,20230811,20230810,1.26,1.26,64.71,807.54588183
sz301090,20230811,20230810,14.86358853,14.86358853,10.73,807.54588183
sz301092,20230811,20230810,1.33693484,1.33693484,26.63,807.54588183
sz301095,20230811,20230810,2,2,69.29,807.54588183
sz301098,20230811,20230810,1.584,1.584,12.44,807.54588183
sz301099,20230811,20230810,0.8,0.8,50.05,807.54588183
sz301107,20230811,20230810,0.734,0.734,30.22,807.54588183
sz301109,20230811,20230810,4.1001,4.1001,16.52,807.54588183
sz301110,20230811,20230810,0.66666667,0.66666667,47.95,807.54588183
sz301111,20230811,20230810,1.6,1.6,20.07,807.54588183
sz301112,20230811,20230810,1.102666,1.102666,31.13,807.54588183
sz301117,20230811,20230810,0.922633,0.922633,53.03,807.54588183
sz301118,20230811,20230810,1.0667,1.0667,26.68,807.54588183
sz301119,20230811,20230810,1.04,1.04,26.5,807.54588183
sz301120,20230811,20230810,3.71441055,3.71441055,13.56,807.54588183
sz301121,20230811,20230810,0.70803184,0.70803184,43.08,807.54588183
sz301123,20230811,20230810,2.336,2.336,23.81,807.54588183
sz301125,20230811,20230810,1.0136,1.0136,18.83,807.54588183
sz301128,20230811,20230810,0.73886622,0.73886622,31.71,807.54588183
sz301132,20230811,20230810,1.4747,1.4747,28.13,807.54588183
sz301133,20230811,20230810,1.06096616,1.06096616,25.59,807.54588183
sz301135,20230811,20230810,1.025695,1.025695,23.6,807.54588183
sz301136,20230811,20230810,2.7520482,2.7520482,14.76,807.54588183
sz301137,20230811,20230810,1.818134,1.818134,15.24,807.54588183
sz301138,20230811,20230810,1.2,1.2,33.34,807.54588183
sz301139,20230811,20230810,1.215808,1.215808,26.84,807.54588183
sz301141,20230811,20230810,0.88594718,0.88594718,74.96,807.54588183
sz301150,20230811,20230810,1.3132699,1.3132699,44.35,807.54588183
sz301152,20230811,20230810,1.21982307,1.21982307,51.77,807.54588183
sz301155,20230811,20230810,2.17391478,2.17391478,66.34,807.54588183
sz301158,20230811,20230810,1.5037051,1.5037051,18.41,807.54588183
sz301159,20230811,20230810,0.7735,0.7735,44.1,807.54588183
sz301167,20230811,20230810,1.12,1.12,18.32,807.54588183
sz301169,20230811,20230810,0.72239774,0.72239774,42.63,807.54588183
sz301171,20230811,20230810,4.71885905,4.71885905,20.25,807.54588183
sz301177,20230811,20230810,4.0001,4.0001,36.75,807.54588183
sz301178,20230811,20230810,0.659568,0.659568,31.68,807.54588183
sz301179,20230811,20230810,2.376,2.376,29.08,807.54588183
sz301180,20230811,20230810,4.0001,4.0001,16.83,807.54588183
sz301181,20230811,20230810,1.17,1.17,29.54,807.54588183
sz301183,20230811,20230810,0.8,0.8,49.48,807.54588183
sz301185,20230811,20230810,1.534176,1.534176,26.48,807.54588183
sz301186,20230811,20230810,0.72758822,0.72758822,37.17,807.54588183
sz301191,20230811,20230810,0.69342,0.69342,87.11,807.54588183
sz301192,20230811,20230810,0.999,0.999,26.7,807.54588183
sz301195,20230811,20230810,1.3152174,1.3152174,43.14,807.54588183
sz301199,20230811,20230810,1.3334,1.3334,26.51,807.54588183
sz301200,20230811,20230810,4.2,4.2,39.14,807.54588183
sz301201,20230811,20230810,1.54713824,1.54713824,28.2,807.54588183
sz301203,20230811,20230810,0.8,0.8,41.18,807.54588183
sz301205,20230811,20230810,1.29744,1.29744,110,807.54588183
sz301208,20230811,20230810,1.0000005,1.0000005,47.5,807.54588183
sz301211,20230811,20230810,2.88,2.88,24.49,807.54588183
sz301212,20230811,20230810,1.08,1.08,34.4,807.54588183
sz301213,20230811,20230810,0.79999999,0.79999999,43.94,807.54588183
sz301216,20230811,20230810,5.150931,5.150931,15.87,807.54588183
sz301218,20230811,20230810,1.1404,1.1404,38,807.54588183
sz301219,20230811,20230810,2.94717182,2.94717182,39.15,807.54588183
sz301221,20230811,20230810,0.926223,0.926223,57.99,807.54588183
