SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz300810,20230727,20230726,1.1805,1.1805,20.04,806.98694245
sz300811,20230727,20230726,1.98789105,1.98789105,54.36,806.98694245
sz300814,20230727,20230726,1.75796,1.75796,31.04,806.98694245
sz300816,20230727,20230726,0.80173,0.80173,26.05,806.98694245
sz300817,20230727,20230726,1.74638592,1.74638592,15.1,806.98694245
sz300820,20230727,20230726,2.16114411,2.16114411,68.96,806.98694245
sz300821,20230727,20230726,12,12,10.03,806.98694245
sz300825,20230727,20230726,4.97434856,4.97434856,17,806.98694245
sz300826,20230727,20230726,1.456,1.456,18.42,806.98694245
sz300828,20230727,20230726,1.659,1.659,15.31,806.98694245
sz300832,20230727,20230726,7.85718785,7.85718785,61.45,806.98694245
sz300836,20230727,20230726,0.64032436,0.64032436,26.96,806.98694245
sz300840,20230727,20230726,2.4,2.4,12.14,806.98694245
sz300842,20230727,20230726,1.0025,1.0025,66.8,806.98694245
sz300845,20230727,20230726,1.11307926,1.11307926,20.61,806.98694245
sz300846,20230727,20230726,4.66822836,4.66822836,13.86,806.98694245
sz300848,20230727,20230726,3.00015,3.00015,21.6,806.98694245
sz300856,20230727,20230726,1.6932,1.6932,74.7,806.98694245
sz300857,20230727,20230726,2.43801046,2.43801046,23.86,806.98694245
sz300858,20230727,20230726,2.63495118,2.63495118,15.66,806.98694245
sz300864,20230727,20230726,1.5504,1.5504,25.68,806.98694245
sz300866,20230727,20230726,4.06427207,4.06427207,80.93,806.98694245
sz300867,20230727,20230726,2.71741053,2.71741053,17.93,806.98694245
sz300868,20230727,20230726,1.28,1.28,20.8,806.98694245
sz300869,20230727,20230726,4.01802664,4.01802664,23.3,806.98694245
sz300872,20230727,20230726,4.04427654,4.04427654,14.88,806.98694245
sz300875,20230727,20230726,0.99834751,0.99834751,36.75,806.98694245
sz300879,20230727,20230726,1.6,1.6,17.76,806.98694245
sz300880,20230727,20230726,1.9319616,1.9319616,24.84,806.98694245
sz300884,20230727,20230726,2.52,2.52,12.46,806.98694245
sz300890,20230727,20230726,1.07839341,1.07839341,39.5,806.98694245
sz300893,20230727,20230726,2.256,2.256,24.15,806.98694245
sz300895,20230727,20230726,1.40800657,1.40800657,34.08,806.98694245
sz300896,20230727,20230726,2.1636,2.1636,474.1,806.98694245
sz300901,20230727,20230726,2.4,2.4,11.04,806.98694245
sz300908,20230727,20230726,1,1,42.3,806.98694245
sz300910,20230727,20230726,2.88228061,2.88228061,51.11,806.98694245
sz300913,20230727,20230726,2.58169548,2.58169548,37.14,806.98694245
sz300916,20230727,20230726,1.44482562,1.44482562,31.11,806.98694245
sz300921,20230727,20230726,1.3155777,1.3155777,25.59,806.98694245
sz300925,20230727,20230726,3.74789534,3.74789534,13.51,806.98694245
sz300926,20230727,20230726,2.7882954,2.7882954,24.08,806.98694245
sz300928,20230727,20230726,0.8,0.8,44.81,806.98694245
sz300935,20230727,20230726,0.7943068,0.7943068,31.06,806.98694245
sz300936,20230727,20230726,0.752,0.752,35.04,806.98694245
sz300937,20230727,20230726,0.95666682,0.95666682,34.1,806.98694245
sz300939,20230727,20230726,1.2,1.2,35.47,806.98694245
sz300947,20230727,20230726,1.53603596,1.53603596,17.8,806.98694245
sz300948,20230727,20230726,1.4001,1.4001,16.02,806.98694245
sz300949,20230727,20230726,0.6,0.6,47.42,806.98694245
sz300950,20230727,20230726,1.5,1.5,20.8,806.98694245
sz300956,20230727,20230726,1.32000792,1.32000792,15.92,806.98694245
sz300958,20230727,20230726,1.42656479,1.42656479,19.16,806.98694245
sz300959,20230727,20230726,0.8,0.8,36.3,806.98694245
sz300961,20230727,20230726,1.7728,1.7728,11.55,806.98694245
sz300962,20230727,20230726,2.64001897,2.64001897,18.06,806.98694245
sz300963,20230727,20230726,2.34,2.34,13.43,806.98694245
sz300966,20230727,20230726,1.15277446,1.15277446,22.88,806.98694245
sz300969,20230727,20230726,0.8,0.8,75.45,806.98694245
sz300972,20230727,20230726,1.535,1.535,38.84,806.98694245
sz300977,20230727,20230726,1.52766542,1.52766542,23.55,806.98694245
sz300978,20230727,20230726,4.22702739,4.22702739,12.39,806.98694245
sz300988,20230727,20230726,1.40297357,1.40297357,20.39,806.98694245
sz300989,20230727,20230726,1.62891,1.62891,30.65,806.98694245
sz300991,20230727,20230726,1.44,1.44,15.63,806.98694245
sz300994,20230727,20230726,2.33088,2.33088,16.05,806.98694245
sz300997,20230727,20230726,4.5,4.5,14.2,806.98694245
sz300998,20230727,20230726,1.3716923,1.3716923,31.02,806.98694245
sz301001,20230727,20230726,0.8,0.8,27.88,806.98694245
sz301010,20230727,20230726,1.08,1.08,21.16,806.98694245
sz301013,20230727,20230726,2.33743056,2.33743056,12.69,806.98694245
sz301016,20230727,20230726,1.2,1.2,21.81,806.98694245
sz301023,20230727,20230726,0.5600025,0.5600025,42.22,806.98694245
sz301026,20230727,20230726,1.13333334,1.13333334,35.69,806.98694245
sz301027,20230727,20230726,1.482914,1.482914,13.86,806.98694245
sz301030,20230727,20230726,1.43646622,1.43646622,58.43,806.98694245
sz301035,20230727,20230726,2.77115744,2.77115744,82.12,806.98694245
sz301040,20230727,20230726,1.00000202,1.00000202,20.32,806.98694245
sz301041,20230727,20230726,1.0668,1.0668,29.53,806.98694245
sz301045,20230727,20230726,1.03154344,1.03154344,27.02,806.98694245
sz301048,20230727,20230726,5.333334,5.333334,11.77,806.98694245
sz301051,20230727,20230726,1.2,1.2,59.47,806.98694245
sz301059,20230727,20230726,2.31154,2.31154,13.99,806.98694245
sz301062,20230727,20230726,4.003918,4.003918,10.8,806.98694245
sz301069,20230727,20230726,4.2064,4.2064,25.08,806.98694245
sz301070,20230727,20230726,0.645552,0.645552,41.7,806.98694245
sz301071,20230727,20230726,2.60272313,2.60272313,39.52,806.98694245
sz301082,20230727,20230726,1.6164941,1.6164941,16.89,806.98694245
sz301083,20230727,20230726,1.77866667,1.77866667,18.46,806.98694245
sz301085,20230727,20230726,0.8,0.8,62.23,806.98694245
sz301088,20230727,20230726,2.28,2.28,17.71,806.98694245
sz301091,20230727,20230726,3.12,3.12,18.37,806.98694245
sz301092,20230727,20230726,1.33693484,1.33693484,26.89,806.98694245
sz301093,20230727,20230726,1.35786667,1.35786667,34.31,806.98694245
sz301096,20230727,20230726,1.08166667,1.08166667,60.15,806.98694245
sz301098,20230727,20230726,1.584,1.584,14.81,806.98694245
sz301099,20230727,20230726,0.8,0.8,48.13,806.98694245
sz301107,20230727,20230726,0.734,0.734,31.02,806.98694245
sz301109,20230727,20230726,4.1001,4.1001,17.35,806.98694245
sz301119,20230727,20230726,1.04,1.04,25.29,806.98694245
sz301123,20230727,20230726,2.336,2.336,25.14,806.98694245
sz301125,20230727,20230726,1.0136,1.0136,19.68,806.98694245
sz301128,20230727,20230726,0.73886622,0.73886622,32.02,806.98694245
sz301132,20230727,20230726,1.4747,1.4747,28.93,806.98694245
sz301133,20230727,20230726,1.06096616,1.06096616,25.51,806.98694245
sz301136,20230727,20230726,2.7520482,2.7520482,15.87,806.98694245
sz301137,20230727,20230726,1.818134,1.818134,16.26,806.98694245
sz301138,20230727,20230726,1.2,1.2,34.99,806.98694245
sz301139,20230727,20230726,1.215808,1.215808,27.05,806.98694245
sz301141,20230727,20230726,0.88594718,0.88594718,63.15,806.98694245
sz301150,20230727,20230726,1.3132699,1.3132699,45.91,806.98694245
sz301152,20230727,20230726,1.21982307,1.21982307,47.15,806.98694245
sz301153,20230727,20230726,1.944,1.944,64.32,806.98694245
sz301159,20230727,20230726,0.7735,0.7735,39.2,806.98694245
sz301161,20230727,20230726,1.2,1.2,22.93,806.98694245
sz301163,20230727,20230726,0.816,0.816,28.04,806.98694245
sz301168,20230727,20230726,1.2,1.2,55.87,806.98694245
sz301171,20230727,20230726,4.71885905,4.71885905,20.95,806.98694245
sz301178,20230727,20230726,0.659568,0.659568,32.19,806.98694245
sz301179,20230727,20230726,2.376,2.376,28.17,806.98694245
sz301180,20230727,20230726,4.0001,4.0001,16.39,806.98694245
sz301181,20230727,20230726,1.17,1.17,29.03,806.98694245
sz301185,20230727,20230726,1.534176,1.534176,27.62,806.98694245
sz301186,20230727,20230726,0.72758822,0.72758822,37.5,806.98694245
sz301188,20230727,20230726,2.3241,2.3241,16,806.98694245
sz301191,20230727,20230726,0.69342,0.69342,87.48,806.98694245
sz301192,20230727,20230726,0.999,0.999,25.8,806.98694245
sz301199,20230727,20230726,1.3334,1.3334,26.29,806.98694245
sz301200,20230727,20230726,4.2,4.2,39.51,806.98694245
sz301201,20230727,20230726,1.54713824,1.54713824,25.94,806.98694245
sz301203,20230727,20230726,0.8,0.8,43.2,806.98694245
sz301205,20230727,20230726,1.29744,1.29744,138.28,806.98694245
sz301208,20230727,20230726,1.0000005,1.0000005,35.63,806.98694245
sz301211,20230727,20230726,2.88,2.88,25.22,806.98694245
sz301213,20230727,20230726,0.79999999,0.79999999,43.49,806.98694245
sz301216,20230727,20230726,5.150931,5.150931,15.98,806.98694245
sz301218,20230727,20230726,1.1404,1.1404,35.48,806.98694245
