SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh603869,20230814,20230811,5.04500508,5.04500508,10.4,788.67377025
sh603877,20230814,20230811,4.73929106,4.73929106,19.18,788.67377025
sh603881,20230814,20230811,4.60498076,4.60498076,22.33,788.67377025
sh603888,20230814,20230811,5.1902936,5.1902936,28.05,788.67377025
sh603893,20230814,20230811,4.179114,4.179114,71.6,788.67377025
sh603897,20230814,20230811,2.06435681,2.06435681,18.31,788.67377025
sh603908,20230814,20230811,0.6669,0.6669,41.85,788.67377025
sh603916,20230814,20230811,4.20310413,4.20310413,13.37,788.67377025
sh603917,20230814,20230811,1.568,1.568,21.03,788.67377025
sh603918,20230814,20230811,3.67759038,3.67759038,24.5,788.67377025
sh603929,20230814,20230811,2.1336,2.1336,15.55,788.67377025
sh603931,20230814,20230811,1.9955838,1.9955838,27.18,788.67377025
sh603933,20230814,20230811,2.105082,2.105082,16.67,788.67377025
sh603936,20230814,20230811,6.38023104,6.38023104,11.56,788.67377025
sh603960,20230814,20230811,2.631835,2.631835,16.3,788.67377025
sh603982,20230814,20230811,2.62920109,2.62920109,14.43,788.67377025
sh603983,20230814,20230811,4.01,4.01,28.33,788.67377025
sh603990,20230814,20230811,3.06282731,3.06282731,15.41,788.67377025
sh605007,20230814,20230811,4.00557562,4.00557562,14.61,788.67377025
sh605009,20230814,20230811,1.55226949,1.55226949,43.39,788.67377025
sh605011,20230814,20230811,4.001,4.001,29.64,788.67377025
sh605028,20230814,20230811,1.6,1.6,18.89,788.67377025
sh605058,20230814,20230811,1.4292395,1.4292395,20.68,788.67377025
sh605077,20230814,20230811,2.284576,2.284576,25.45,788.67377025
sh605089,20230814,20230811,1.38,1.38,42.3,788.67377025
sh605090,20230814,20230811,6.25414024,6.25414024,22.45,788.67377025
sh605100,20230814,20230811,1.69932,1.69932,15.48,788.67377025
sh605108,20230814,20230811,2.6,2.6,33.01,788.67377025
sh605111,20230814,20230811,2.98204073,2.98204073,38.46,788.67377025
sh605117,20230814,20230811,4.3008084,4.3008084,106.4,788.67377025
sh605118,20230814,20230811,4.073209,4.073209,14.44,788.67377025
sh605136,20230814,20230811,4.004585,4.004585,11.3,788.67377025
sh605178,20230814,20230811,0.992516,0.992516,20.83,788.67377025
sh605199,20230814,20230811,4.00108752,4.00108752,15.39,788.67377025
sh605218,20230814,20230811,2.1283346,2.1283346,14.12,788.67377025
sh605258,20230814,20230811,0.88,0.88,24.68,788.67377025
sh605277,20230814,20230811,2.64498935,2.64498935,13.84,788.67377025
sh605305,20230814,20230811,1.518,1.518,29.61,788.67377025
sh605333,20230814,20230811,4.36776081,4.36776081,13.9,788.67377025
sh605358,20230814,20230811,6.76852411,6.76852411,36.42,788.67377025
sh605369,20230814,20230811,1.1262712,1.1262712,54.05,788.67377025
sh605389,20230814,20230811,1.3626676,1.3626676,25.65,788.67377025
sh605398,20230814,20230811,1.16616489,1.16616489,26,788.67377025
sh605399,20230814,20230811,3.123289,3.123289,15.81,788.67377025
sh605577,20230814,20230811,4.44444445,4.44444445,10.92,788.67377025
sh605580,20230814,20230811,2.8,2.8,11.74,788.67377025
sh605588,20230814,20230811,0.73099561,0.73099561,38.97,788.67377025
sh605598,20230814,20230811,1.75543467,1.75543467,42.89,788.67377025
sh688287,20230814,20230811,2.3751,2.3751,10.6,788.67377025
sz000001,20230814,20230811,194.05918198,194.05918198,11.89,788.67377025
sz000002,20230814,20230811,97.24196533,97.24196533,14.6,788.67377025
sz000004,20230814,20230811,1.32380282,1.32380282,17.7,788.67377025
sz000009,20230814,20230811,25.79213965,25.79213965,10.96,788.67377025
sz000011,20230814,20230811,5.28373849,5.28373849,10.83,788.67377025
sz000021,20230814,20230811,15.60587588,15.60587588,17.58,788.67377025
sz000032,20230814,20230811,11.37959234,11.37959234,28.25,788.67377025
sz000034,20230814,20230811,6.6923458,6.6923458,28.27,788.67377025
sz000037,20230814,20230811,3.3890815,3.3890815,10.07,788.67377025
sz000049,20230814,20230811,2.99386862,2.99386862,33.65,788.67377025
sz000062,20230814,20230811,10.45909322,10.45909322,11.5,788.67377025
sz000065,20230814,20230811,10.01763516,10.01763516,16.68,788.67377025
sz000151,20230814,20230811,3.37370728,3.37370728,12.28,788.67377025
sz000155,20230814,20230811,14.75926818,14.75926818,14.07,788.67377025
sz000338,20230814,20230811,67.83516821,67.83516821,12.3,788.67377025
sz000408,20230814,20230811,15.80435073,15.80435073,24,788.67377025
sz000411,20230814,20230811,5.0545972,5.0545972,13.09,788.67377025
sz000422,20230814,20230811,10.57866712,10.57866712,12.16,788.67377025
sz000519,20230814,20230811,13.92558982,13.92558982,17.04,788.67377025
sz000524,20230814,20230811,6.70208597,6.70208597,10.84,788.67377025
sz000526,20230814,20230811,1.22124709,1.22124709,26.59,788.67377025
sz000532,20230814,20230811,3.4470834,3.4470834,11.49,788.67377025
sz000538,20230814,20230811,17.96862549,17.96862549,54.4,788.67377025
sz000555,20230814,20230811,9.83653713,9.83653713,11.91,788.67377025
sz000581,20230814,20230811,8.30199793,8.30199793,16.95,788.67377025
sz000610,20230814,20230811,2.36747901,2.36747901,17.36,788.67377025
sz000651,20230814,20230811,56.31405741,56.31405741,35.91,788.67377025
sz000681,20230814,20230811,7.00577436,7.00577436,16.75,788.67377025
sz000710,20230814,20230811,3.54605865,3.54605865,10.87,788.67377025
sz000719,20230814,20230811,10.23203749,10.23203749,11.86,788.67377025
sz000721,20230814,20230811,5.73914308,5.73914308,14.04,788.67377025
sz000722,20230814,20230811,4.64158282,4.64158282,11.54,788.67377025
sz000736,20230814,20230811,6.95433689,6.95433689,15.25,788.67377025
sz000756,20230814,20230811,4.79682835,4.79682835,22.35,788.67377025
sz000762,20230814,20230811,5.2117124,5.2117124,29.65,788.67377025
sz000768,20230814,20230811,27.81740071,27.81740071,24.64,788.67377025
sz000779,20230814,20230811,3.80095146,3.80095146,11.15,788.67377025
sz000799,20230814,20230811,3.2492898,3.2492898,99.47,788.67377025
sz000815,20230814,20230811,6.95263035,6.95263035,11.15,788.67377025
sz000818,20230814,20230811,6.79156,6.79156,32.19,788.67377025
sz000819,20230814,20230811,3.08081255,3.08081255,19.18,788.67377025
sz000830,20230814,20230811,19.22577011,19.22577011,10.12,788.67377025
sz000837,20230814,20230811,10.09883039,10.09883039,12.57,788.67377025
sz000858,20230814,20230811,38.81608005,38.81608005,172.36,788.67377025
sz000860,20230814,20230811,7.41766989,7.41766989,26.73,788.67377025
sz000880,20230814,20230811,3.313206,3.313206,10.26,788.67377025
sz000885,20230814,20230811,6.42078255,6.42078255,12.2,788.67377025
sz000887,20230814,20230811,13.16489747,13.16489747,12.7,788.67377025
sz000888,20230814,20230811,5.26913102,5.26913102,10.83,788.67377025
sz000895,20230814,20230811,34.64661213,34.64661213,25.08,788.67377025
sz000935,20230814,20230811,7.63440333,7.63440333,17.82,788.67377025
sz000936,20230814,20230811,8.86012887,8.86012887,10.8,788.67377025
sz000938,20230814,20230811,28.60079874,28.60079874,26.44,788.67377025
sz000948,20230814,20230811,3.94360697,3.94360697,19.9,788.67377025
sz000957,20230814,20230811,5.92903936,5.92903936,10.91,788.67377025
sz000962,20230814,20230811,4.45826444,4.45826444,12.42,788.67377025
sz000977,20230814,20230811,14.72135122,14.72135122,45.19,788.67377025
